Age,Gender,familyhistory,treatment,workinterfere,noofemployees,remotework,techcompany,benefits,careoptions,wellnessprogram,seekhelp,anonymity,leave,coworkers,supervisor,mentalvsphysical
37,Women,No,Yes,Often,0-25,No,Yes,Yes,Not sure,No,Yes,Yes,Somewhat easy,Some of them,Yes,Yes
44,Man,No,No,Rarely,More than 1000,No,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,No,Don't know
32,Man,No,No,Rarely,0-25,No,Yes,No,No,No,No,Don't know,Somewhat difficult,Yes,Yes,No
31,Man,Yes,Yes,Often,26-100,No,Yes,No,Yes,No,No,No,Somewhat difficult,Some of them,No,No
31,Man,No,No,Never,100-500,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,Some of them,Yes,Don't know
33,Man,Yes,No,Sometimes,0-25,No,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,Yes,Yes,Don't know
35,Women,Yes,Yes,Sometimes,500-1000,Yes,Yes,No,No,No,No,No,Somewhat difficult,Some of them,No,Don't know
39,Man,No,No,Never,500-1000,Yes,Yes,No,Yes,No,No,Yes,Don't know,No,No,No
42,Women,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Very difficult,Yes,Yes,No
23,Man,No,No,Never,26-100,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,Yes,Yes,Yes
31,Man,No,Yes,Sometimes,0-25,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,Some of them,Yes,Don't know
29,Man,No,No,Never,100-500,Yes,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Yes,Yes,Don't know
42,Women,Yes,Yes,Sometimes,26-100,No,No,Yes,Yes,No,No,Don't know,Somewhat difficult,Yes,Yes,No
36,Man,Yes,No,Never,500-1000,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Yes,Yes,Don't know
27,Man,No,No,Never,0-25,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Somewhat easy,Some of them,Some of them,Yes
29,Women,Yes,Yes,Rarely,26-100,No,Yes,Yes,Not sure,No,No,Don't know,Somewhat easy,Yes,Some of them,Don't know
23,Man,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,Some of them,No,No
32,Man,No,Yes,Sometimes,0-25,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Some of them,Yes,No
46,Man,Yes,No,Sometimes,500-1000,Yes,Yes,Yes,Not sure,Yes,Don't know,Yes,Very easy,Yes,Yes,Yes
36,Man,Yes,No,NA,0-25,Yes,Yes,No,No,Yes,No,Yes,Somewhat easy,Some of them,Some of them,Don't know
29,Man,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Somewhat difficult,Some of them,Some of them,No
31,Man,No,No,Never,500-1000,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,Some of them,Some of them,Yes
46,Man,No,Yes,Often,26-100,Yes,Yes,Yes,Yes,No,No,Don't know,Don't know,Some of them,Yes,No
41,Man,No,Yes,Never,More than 1000,No,No,Don't know,No,No,Don't know,Don't know,Don't know,No,No,Don't know
33,Man,Yes,Yes,Rarely,26-100,No,Yes,Yes,Not sure,Don't know,Yes,Yes,Don't know,Yes,Yes,Don't know
35,Man,Yes,Yes,Sometimes,More than 1000,No,No,Yes,Yes,No,Don't know,No,Very easy,Some of them,Yes,No
33,Man,No,No,NA,500-1000,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Some of them,No,Don't know
35,Women,Yes,Yes,Rarely,0-25,Yes,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Yes,Yes,Yes
34,Man,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,Some of them,No,No
37,Man,No,No,Sometimes,0-25,No,Yes,No,No,No,No,Don't know,Very difficult,Some of them,No,No
32,Man,No,No,Never,0-25,Yes,Yes,No,No,No,No,Don't know,Don't know,Some of them,Some of them,No
31,Man,Yes,No,Rarely,500-1000,Yes,Yes,No,Yes,No,No,Don't know,Somewhat difficult,No,No,No
30,Man,Yes,Yes,Sometimes,500-1000,Yes,Yes,Don't know,No,No,No,Yes,Somewhat easy,Some of them,Yes,Don't know
42,Man,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Some of them,Some of them,Don't know
40,Women,No,Yes,Sometimes,500-1000,No,Yes,Yes,Yes,No,No,Don't know,Don't know,Some of them,No,Yes
27,Man,No,Yes,Rarely,0-25,No,Yes,No,Yes,No,No,Don't know,Very easy,Yes,Yes,Don't know
29,Man,No,No,Rarely,500-1000,No,Yes,No,No,No,No,Don't know,Very easy,Some of them,No,Don't know
38,Man,No,No,NA,100-500,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Some of them,Some of them,No
